som_size,learning_rate,sigma,success_rate,load_std,avg_load
6,0.1,1.0,6.6000000000000005,0.03210846293522742,0.9346230363207934
6,0.1,2.0,6.0,0.08618797781330406,0.8581236401558868
6,0.1,3.0,6.4,0.09741931978541178,0.8473276022564893
6,0.5,1.0,6.4,0.09846574147914595,0.8823942159668858
6,0.5,2.0,6.4,0.04658022934600978,0.9120356415249333
6,0.5,3.0,6.6000000000000005,0.08714049840470812,0.8965305783877635
6,0.9,1.0,6.2,0.05845499825628774,0.9080773864844047
6,0.9,2.0,6.6000000000000005,0.06715140358369077,0.9006193400420079
6,0.9,3.0,6.2,0.037770757575753745,0.9003882098891403
8,0.1,1.0,6.6000000000000005,0.08282657244349996,0.8867743543340767
8,0.1,2.0,6.800000000000001,0.05353252963073852,0.9052150601532107
8,0.1,3.0,6.800000000000001,0.03670257182680939,0.933352929817711
8,0.5,1.0,7.000000000000001,0.05835686621106231,0.9108261815841242
8,0.5,2.0,6.6000000000000005,0.04808018872313881,0.8904018899599688
8,0.5,3.0,6.2,0.11054509288653966,0.85869840435792
8,0.9,1.0,7.000000000000001,0.05229578037519188,0.9127288789715042
8,0.9,2.0,6.6000000000000005,0.09330531836164417,0.882475066744375
8,0.9,3.0,6.4,0.06498724264947314,0.8925979566942457
10,0.1,1.0,6.6000000000000005,0.0913269477264552,0.8789310506421067
10,0.1,2.0,7.000000000000001,0.06796812955404662,0.9378910825747278
10,0.1,3.0,6.4,0.090306048587913,0.8891256386538003
10,0.5,1.0,5.800000000000001,0.06674688432414513,0.8672411514349012
10,0.5,2.0,7.000000000000001,0.09160927376058123,0.8977061480594891
10,0.5,3.0,6.4,0.067492322791296,0.9034347431907415
10,0.9,1.0,6.0,0.07015898338041116,0.8705392960837857
10,0.9,2.0,7.000000000000001,0.041785118904559555,0.9101766783408116
10,0.9,3.0,6.4,0.1273822905559936,0.8458956072452393
