som_size,learning_rate,sigma,score
7,0.5567417397696446,3.752363686328034,0.6296480715768589
9,0.18629827476366825,2.629875014962014,0.634199349043563
14,0.8879381158560301,3.5693604476026843,0.5807104148556381
10,0.6652326707529738,2.9977349123232395,0.6065373988317525
12,0.2545888299701141,2.199002665827977,0.6294330127049786
7,0.33611333535095345,1.918833693002221,0.6333015509623945
13,0.42841718358336134,1.2681728520963462,0.6095775992057961
9,0.7008888984153995,1.4427548040811438,0.630817571922243
9,0.1530739161620746,2.527495881391131,0.6432444794375405
9,0.27270664477973494,2.2860940766914553,0.6368788192504334
9,0.34210883442023643,2.5801207046834325,0.6683648908451051
9,0.4673775729400609,2.6640760937198595,0.6123113237039154
14,0.8369272027416853,1.8752821549896102,0.5489306938919467
14,0.5866428441944683,3.4467996667911462,0.5920437371348118
9,0.2555060769502622,2.5858799573512687,0.6296899151924189
9,0.29514666342900886,2.424268187295143,0.6075945983326348
9,0.2190700900610042,2.547876120562213,0.6236322469020124
10,0.30482116417955596,2.626535676968824,0.6295413679924396
9,0.17452471441630746,2.281044662350391,0.6121429297110075
9,0.4057945491764876,3.891772806159608,0.5916258018872735
